TrackID,Frame,T,X,Y,Movie
0,0,0,235.06181015452538,145.81898454746135,mid_1
1,0,0,333.7171314741036,155.09561752988049,mid_1
2,0,0,355.823677581864,175.13853904282115,mid_1
3,0,0,329.3862815884477,193.87725631768953,mid_1
4,0,0,247.93227091633466,207.90637450199202,mid_1
5,0,0,223.6166219839142,216.53887399463807,mid_1
6,0,0,143.96036585365854,219.4268292682927,mid_1
7,0,0,376.8243902439024,222.09268292682927,mid_1
8,0,0,184.78313253012047,239.0632530120482,mid_1
9,0,0,153.15107913669064,240.69064748201438,mid_1
10,0,0,216.37560975609756,244.65121951219513,mid_1
11,0,0,311.1672794117647,256.7959558823529,mid_1
12,0,0,486.47301587301587,257.415873015873,mid_1
13,0,0,234.93827160493828,260.80864197530866,mid_1
14,0,0,385.2291666666667,428.7348484848485,mid_1
15,0,0,435.51971326164875,422.55913978494624,mid_1
16,0,0,521.0443037974684,593.3291139240506,mid_1
17,0,0,194.61012658227847,275.52911392405065,mid_1
18,0,0,117.18274111675127,273.79695431472084,mid_1
19,0,0,218.23309608540924,283.30782918149464,mid_1
20,0,0,364.3294314381271,286.6170568561873,mid_1
21,0,0,169.42439024390245,294.4926829268293,mid_1
22,0,0,320.8372513562387,298.98915009041593,mid_1
23,0,0,262.21001615508885,309.91437802907916,mid_1
24,0,0,288.0695652173913,272.39130434782606,mid_1
25,0,0,391.38532110091745,471.5229357798165,mid_1
26,0,0,570.0806451612904,461.2016129032258,mid_1
27,0,0,113.43683083511777,565.5738758029978,mid_1
28,0,0,503.0138888888889,461.21805555555557,mid_1
29,0,0,92.89312977099236,579.3078880407124,mid_1
30,0,0,287.938679245283,321.52830188679246,mid_1
31,0,0,197.39446366782008,320.80276816608995,mid_1
32,0,0,307.2588597842835,372.54237288135596,mid_1
33,0,0,211.66206896551725,365.201724137931,mid_1
34,0,0,349.88853503184714,363.5668789808917,mid_1
35,0,0,407.74607329842934,357.22513089005236,mid_1
36,0,0,542.8413793103448,354.8965517241379,mid_1
37,0,0,129.35593220338984,350.0,mid_1
38,0,0,255.57894736842104,355.44427244582045,mid_1
39,0,0,507.5016722408027,352.60535117056855,mid_1
40,0,0,130.4983388704319,334.66777408637876,mid_1
41,0,0,527.7483870967742,423.9129032258065,mid_1
42,0,0,346.3731931668857,424.6544021024967,mid_1
43,0,0,390.1787234042553,399.34255319148934,mid_1
44,0,0,279.61623616236164,379.2970479704797,mid_1
45,0,0,380.9953488372093,373.7604651162791,mid_1
46,0,0,118.48970251716247,375.812356979405,mid_1
47,0,0,445.1437802907916,371.08723747980616,mid_1
48,0,0,538.359375,319.25,mid_1
49,0,0,339.6992287917738,330.3907455012853,mid_1
50,0,0,381.87480916030535,331.4091603053435,mid_1
51,0,0,165.48458149779736,327.3678414096916,mid_1
52,0,0,473.61003236245955,330.5129449838188,mid_1
24,1,1,287.3203125,273.015625,mid_1
20,1,1,363.5425925925926,287.47962962962964,mid_1
19,1,1,217.03976143141153,285.1610337972167,mid_1
52,1,1,472.4139941690962,331.58309037900875,mid_1
17,1,1,192.1235632183908,274.0086206896552,mid_1
18,1,1,120.57920792079207,270.509900990099,mid_1
12,1,1,488.6918032786885,261.655737704918,mid_1
11,1,1,309.910941475827,255.92875318066157,mid_1
53,1,1,52.35451505016722,294.9364548494983,mid_1
